state,registrationDeadlineType,dateType,edRelation,time,laws,updateLegal,updateNotes,
Massachusetts,Domestic Registration Deadline,Blank,ED - 20,8:00 PM," The registrars, for the purpose of registering voters, shall hold such day and evening sessions as the town, by by-law, or the city, by ordinance, shall prescribe and such other sessions at locations as they deem necessary to allow voters to register and they may for such purposes, use mobile registration units; provided, however, that except as provided in sections thirty-four and fifty, registration for the next election shall take place no later than eight o'clock in the evening on the twentieth day preceding such election and no later than eight o'clock in the evening on the tenth day preceding a special town meeting. (Section 26. )",Same,,
Massachusetts,Domestic Registration Deadline,Postmarked by,ED - 20,," Mailed affidavits of registration postmarked before midnight on the final day to register for an election shall be effective for such election, as provided in section forty-two G.(Section 26)",Same,,
Massachusetts,Early Voting From,Blank,ED - 11,,"  (c) The voting period for early voting shall run from the eleventh business day preceding the general election until the close of business on the business day preceding the business day before the election; provided, however, that if the eleventh business day before the election falls on a legal holiday the early voting period shall begin on the first business day prior to the legal holiday.(Section 25B)","Same, see 51 §26",,
Massachusetts,Early Voting To,Blank,2nd Business day before ED (Friday),,"  (c) The voting period for early voting shall run from the eleventh business day preceding the general election until the close of business on the business day preceding the business day before the election; provided, however, that if the eleventh business day before the election falls on a legal holiday the early voting period shall begin on the first business day prior to the legal holiday.(Section 25B)",Same,,
Massachusetts,Overseas Ballot Return Deadline,Received by,ED,8:00 PM,Section 93. All absent voting ballots voted as provided in section ninety-two shall be received by the city or town clerk before the hour fixed for closing the polls.,Same,,
Massachusetts,Overseas Ballot Return Deadline,Post Received by,ED + 10,5:00 PM,Section 93. All absent voting ballots voted as provided in section ninety-two shall be received by the city or town clerk before the hour fixed for closing the polls.,Same,,
Massachusetts,Overseas Ballot Return Deadline,Postmarked by,ED,,,"Same, see also: https://www.sec.state.ma.us/ele/elemil/milidx.htm",,
Massachusetts,Overseas Ballot Return Deadline,"Email,Online,Fax by",ED,8:00 PM,,"I think it's just ED, see: https://www.sec.state.ma.us/ele/elemil/milidx.htm",,
Massachusetts,Overseas Ballot Request Deadline,Received by,ED - 1 ,12:00:00 PM/ 5:00 PM," A specially qualified voter, as defined in section one of chapter fifty, who qualifies for an absent voting ballot pursuant to section eighty-six, or a family member of such specially qualified voter, may apply for an absent voting ballot in the manner prescribed in section eighty-nine.(Section 91A). Any form of written communication evidencing a desire to have an absent voting ballot be sent for use for voting at an election shall be given the same effect as an application made in the form prescribed by the state secretary. No application shall be deemed to be seasonably filed unless it is received in the office of the city or town clerk or registrars of voters before noon on the day preceding the election for which such absent voting ballot is requested; provided, however, that if the day preceding such election is a Sunday or legal holiday, then it shall be received by such clerk or registrars before five o'clock post meridian on the last previous day on which such office is open. (Section 89)","Same, see also: https://www.sec.state.ma.us/ele/elemil/milidx.htm",,
Michigan,Domestic Ballot Return Deadline,Received by,ED,8:00 PM,"After receiving your absent voter ballot, you have until 8 p.m. on election day to complete the ballot and return it to the clerk's office. ( Source Department of State)",Same,,
Michigan,Domestic Ballot Request Deadline,Post Received by,Friday before election (ED - 4),5:00 PM,Requests to have an absent voter ballot mailed to you must be received by your clerk no later than 2 p.m. the Saturday before the election (168.759),"5pm on Friday before election. See: https://www.michigan.gov/sos/0,4670,7-127-1633_8716_8728-21037--,00.html",,
Michigan,Domestic Ballot Request Deadline,Post Received by,ED - 4,5:00 PM,,See above.,,
Michigan,Domestic Ballot Request Deadline,In-Person Request by,ED - 1,4:00 PM,"Notwithstanding section 759, providing that no absent voter applications shall be received by the clerk after 2 p.m. on the Saturday before the election, and subject to the identification requirement in subsection (6), a person qualified to vote as an absent voter may apply in person at the clerk's office before 4 p.m. on a day before the election except Sunday or a legal holiday to vote as an absent voter.(168.761 Sec. 761.)",Same,,
Michigan,Domestic Registration Deadline,Online by,ED - 15,,"Registrations accepted between the thirtieth day preceding an election and the day of the election, unless the thirtieth day falls on a Saturday, Sunday, or legal holiday, in which event registration shall be accepted during the following day, are not valid for the election but are valid for subsequent regular, primary, school, or special elections that are held so that not less than 30 days intervene between the date the person registered and the date of the election. (168.497  Sec. 497 (a))","See 168.497(1): An individual who is not registered to vote but possesses the qualifications of an elector as provided in section 4921 may apply for registration to the clerk of the county, township, or city in which he or she resides in person, during the clerk's regular business hours, or by mail or online until the fifteenth day before an election",,
Michigan,Domestic Registration Deadline,Postmarked by,ED - 15,,,,,
Michigan,Domestic Registration Deadline,Same Day Registration and Voting from,ED - 14,,,,,
Michigan,Domestic Registration Deadline,Same Day Registration and Voting to,ED,,,,,
Michigan,Domestic Registration Deadline,Election Day Registration and Voting,ED,,,,,
Michigan,In-Person Absentee from,Blank,ED - 75,,"While some states allow all voters to cast ballots prior to Election Day, Michigan does not have early voting. Of course, qualified Michigan voters can cast absentee ballots prior to Election Day (Source: Depart of State). (1) At any time during the 75 days before a primary or special primary, but not later than 2 p.m. of the Saturday immediately before the primary or special primary, an elector who qualifies to vote as an absent voter, as defined in section 758, may apply for an absent voter ballot. (168.759 Sec. 759.)","Right, but a bit misleading to call it early voting. This is the same info as for absentee voting by mail.",,
Michigan,In-Person Absentee to,Blank,ED - 1,4:00 PM,,See above.,,
Michigan,Overseas Ballot Return Deadline,Received by,ED,8:00 PM,"(4)If the ballots and registration forms are received before the close of the polls on election day and if the registration complies with the requirements of this act, the absent voter ballots shall be delivered to the proper election board to be tabulated.(168.759a Sec. 759a)",Same,,
Michigan,Overseas Ballot Request Deadline,Received by,On the Saturday before ED,2:00 PM,"(10) An absent uniformed services voter or an overseas voter who submits an absent voter ballot application is eligible to vote as an absent voter in any local, state, or federal election occurring in the calendar year in which the election is held for that ballot requested if the absent voter ballot application is received by the county, city, village, or township clerk not later than 2 p.m. of the Saturday before the election. (",Same,,
Michigan,Overseas Registration Deadline,Received by,ED,8:00 PM,"(4)If the ballots and registration forms are received before the close of the polls on election day and if the registration complies with the requirements of this act, the absent voter ballots shall be delivered to the proper election board to be tabulated.(168.759a Sec. 759a)",Same,,
Michigan,Overseas Registration Deadline,Post Received by,ED,8:00 PM,,Same,,
Minnesota,In-Person Absentee Voting From,Blank,ED - 46,,"- An eligible voter may vote by absentee ballot in the office of the county auditor and at any other polling place designated by the county auditor during the 46 days before the election, except as provided in this section.(203B.081)",Same,,
Minnesota,In-Person Absentee Voting To,Blank,ED - 1(not weekends),5:00 PM,"The county auditor's office in each county and the clerk's office in each city or town authorized under section 203B.05 to administer absentee balloting must be open for acceptance of absentee ballot applications and casting of absentee ballots from 10:00 a.m. to 3:00 p.m. on Saturday and until 5:00 p.m. on the day immediately preceding a primary, special, or general election unless that day falls on a Saturday or Sunday.(203B.085)","Same, may want to add ""5:00PM"" to column G.",,
Minnesota,Domestic Ballot Return Deadline,Blank,ED,,,"Same, see §203B.08 Sub. 3: Ballots received on election day either (1) after 3:00 p.m., if delivered in person; or (2) after 8:00 p.m., if delivered by mail or a package delivery service, shall be marked as received late by the county auditor or municipal clerk, and must not be delivered to the ballot board.",,
Minnesota,Domestic Ballot Return Deadline,Post Received by,ED,8:00 PM,"An eligible voter who receives absentee ballots as provided in this chapter shall mark them in the manner specified in the directions for casting the absentee ballots. The return envelope containing marked ballots may be mailed as provided in the directions for casting the absentee ballots or may be left with the county auditor or municipal clerk who transmitted the absentee ballots to the voter. If delivered in person, the return envelope must be submitted to the county auditor or municipal clerk by 3:00 p.m. on election day. (203B.08)",Same,,
Minnesota,Domestic Ballot Return Deadline,Hand Delivered by,ED,3:00 PM,"An eligible voter who receives absentee ballots as provided in this chapter shall mark them in the manner specified in the directions for casting the absentee ballots. The return envelope containing marked ballots may be mailed as provided in the directions for casting the absentee ballots or may be left with the county auditor or municipal clerk who transmitted the absentee ballots to the voter. If delivered in person, the return envelope must be submitted to the county auditor or municipal clerk by 3:00 p.m. on election day. (203B.08)",Same,,
Minnesota,Domestic Ballot Request Deadline,Blank,ED - 1,,"(a) Except as otherwise allowed by subdivision 2 or by section 203B.11, subdivision 4, an application for absentee ballots for any election may be submitted at any time not less than one day before the day of that election.(203B.04)",Same,,
Minnesota,Domestic Ballot Request Deadline,Recommended by (not req),ED - 1,,,Same,,
Minnesota,Domestic Registration Deadline,Blank,ED - 21,11:59 PM,,Same,,
Minnesota,Domestic Registration Deadline,In-Person - Received by,ED - 21,,"-An individual may register to vote:(1) at any time before the 20th day preceding any election as provided in section 201.061, subdivision 1;(201.054 )",Same,,
Minnesota,Domestic Registration Deadline,Online by,ED - 21,11:59 PM,""" (a) At any time except during the 20 days immediately preceding any regularly scheduled election, an eligible voter or any individual who will be an eligible voter at the time of the next election may register to vote in the precinct in which the voter maintains residence by completing a voter registration application as described in section 201.071, subdivision 1. A completed application may be submitted:
(2) electronically through a secure Web site that shall be maintained by the secretary of state for this purpose, if the applicant has an e-mail address and provides the applicant's verifiable Minnesota driver's license number, Minnesota state identification card number, or the last four digits of the applicant's Social Security number. A registration that is received in person or by mail no later than 5:00 p.m. on the 21st day preceding any election, or a registration received electronically through the secretary of state's secure Web site no later than 11:59 p.m. on the 21st day preceding any election, shall be accepted.(201.061)""",Same,,
Minnesota,Domestic Registration Deadline,Received by,ED - 21,5:00 PM,""" (a) At any time except during the 20 days immediately preceding any regularly scheduled election, an eligible voter or any individual who will be an eligible voter at the time of the next election may register to vote in the precinct in which the voter maintains residence by completing a voter registration application as described in section 201.071, subdivision 1. A completed application may be submitted:
(1) in person or by mail to the county auditor of that county or to the Secretary of State's Office; A registration that is received in person or by mail no later than 5:00 p.m. on the 21st day preceding any election, or a registration received electronically through the secretary of state's secure Web site no later than 11:59 p.m. on the 21st day preceding any election, shall be accepted.(201.061)""",Same,,
Minnesota,Domestic Registration Deadline,Election Day Registration and Voting,ED ,,"-An individual may register to vote: (2) on the day of an election as provided in section 201.061, subdivision 3;(201.054 )",Same,,
Minnesota,Early Voting From,Blank,ED - 46,,"- An eligible voter may vote by absentee ballot in the office of the county auditor and at any other polling place designated by the county auditor during the 46 days before the election, except as provided in this section.(203B.081)",Same,,
Minnesota,Early Voting To,Blank,ED - 1,5:00 PM,"The county auditor's office in each county and the clerk's office in each city or town authorized under section 203B.05 to administer absentee balloting must be open for acceptance of absentee ballot applications and casting of absentee ballots from 10:00 a.m. to 3:00 p.m. on Saturday and until 5:00 p.m. on the day immediately preceding a primary, special, or general election unless that day falls on a Saturday or Sunday.(203B.085)",Same,,
Minnesota,Overseas Ballot Return Deadline,Received by,ED,8:00 PM,,Same,,
Minnesota,Overseas Ballot Request Deadline,Received by,ED,,e) There shall be no limitation of time for filing and receiving applications for ballots under sections 203B.16 to 203B.27.(203B.17),"This is still true, but if the deadline is for return is 8PM, may be worth making note that a request should, of course, be made before that and with sufficient time to fill out.",,
Minnesota,Overseas Registration Deadline,Received by,ED,,"-(3) An individual may register to vote: when submitting an absentee ballot, by enclosing a completed registration application as provided in section 203B.04, subdivision 4 (201.054)",Same,,
Mississippi,In-Person Absentee Voting From,Blank,ED - 14,,,I don't belive MS allows early voting anymore.,,
Mississippi,In-Person Absentee Voting To,Blank,ED - 3,12:00 PM,,See above.,,
Mississippi,Domestic Ballot Return Deadline,Post Received by,ED + 5 business days (+7),5:00 PM,"Absentee ballots received by mail, except presidential ballots as provided for in Sections 23-15-731 and 23-15-733 and except as otherwise provided by Section 23-15-699, must be received by the registrar by 5:00 p.m. on the date preceding the election; any received after such time shall be handled as provided in Section 23-15-647 and shall not be counted. All ballots cast by the absent elector appearing in person in the office of the registrar shall be cast not later than 12:00 noon on the Saturday immediately preceding elections held on Tuesday, the Thursday immediately preceding elections held on Saturday, or the second day immediately preceding the date of elections held on other days. The registrar shall deposit all absentee ballots which have been timely cast in the ballot boxes upon receipt.(§ 23-15-637)","See §23-15-637(1)(a): Absentee ballots and applications received by mail, except for fax or electronically transmitted ballots as otherwise provided by Section 23-15-699 for UOCAVA ballots, must be postmarked on or before the date of the election and received by the registrar no more than five (5) business days after the election; any received after such time shall be handled as provided in Section 23-15-647 and shall not be counted.",,
Mississippi,Domestic Ballot Return Deadline,Postmarked by,ED,,,,,
Mississippi,Domestic Ballot Return Deadline,In-Person Received by,ED - 3,12:00 PM,,"Same, see §23-15-637(1)(b)",,
Mississippi,Domestic Ballot Request Deadline,Received by,ED,,,"Same, see §23-15-637(1)(a): Absentee ballots and applications received by mail, except for fax or electronically transmitted ballots as otherwise provided by Section 23-15-699 for UOCAVA ballots, must be postmarked on or before the date of the election and received by the registrar no more than five (5) business days after the election; any received after such time shall be handled as provided in Section 23-15-647 and shall not be counted.",,
Mississippi,Domestic Registration Deadline,Blank,ED - 30,,,"Same, see §23-15-47(2)(a): Any qualified elector may register to vote by mailing or delivering a completed mail-in application to his or her county registrar at least thirty (30) days before any election; however, if the thirtieth day to register before an election falls on a Sunday or legal holiday, the registration applications submitted on the business day immediately following the Sunday or legal holiday shall be accepted and entered into the Statewide Elections Management System for the purpose of enabling voters to vote in the next election. The postmark date of a mailed application shall be the applicant's date of registration.",,
Mississippi,Domestic Registration Deadline,Postmarked by,ED - 30,,"""(2) The following procedure shall be used in the registration of electors by mail:
(a) Any qualified elector may register to vote by mailing or delivering a completed mail-in application to his or her county registrar at least thirty (30) days before any election; however, if the thirtieth day to register before an election falls on a Sunday or legal holiday, the registration applications submitted on the business day immediately following the Sunday or legal holiday shall be accepted and entered into the Statewide Elections Management System for the purpose of enabling voters to vote in the next election. The postmark date of a mailed application shall be the applicant's date of registration.(§ 23-15-47)""","Same, see above.",,
Mississippi,Domestic Registration Deadline,In-Person Received by,ED - 30,12:00 PM,"(2) The county registrar may keep his or her office open to register voters from 8:00 a.m. until 7:00 p.m., including the noon hour, for the five (5) business days immediately preceding the thirtieth day before any regularly scheduled primary or general election. The county registrar shall also keep his or her office open from 8:00 a.m. until 12:00 noon on the Saturday immediately preceding the thirtieth day before any regularly scheduled primary or general election, unless that Saturday falls on a legal holiday, in which case registration applications submitted on the Monday immediately following the legal holiday shall be accepted and entered in the Statewide Elections Management System for the purpose of enabling such voters to vote in the next primary or general election.(§ 23-15-37)",Same,,
Mississippi,Overseas Ballot Return Deadline,Post Received by,ED + 5 business days (+7),,,"See §23-15-637(1)(a): Absentee ballots and applications received by mail, except for fax or electronically transmitted ballots as otherwise provided by Section 23-15-699 for UOCAVA ballots, must be postmarked on or before the date of the election and received by the registrar no more than five (5) business days after the election; any received after such time shall be handled as provided in Section 23-15-647 and shall not be counted.",,
Mississippi,Overseas Ballot Return Deadline,Email or Fax by ,ED,,,,,
Mississippi,Overseas Ballot Request Deadline,No - Deadline,,,,"See §23-15-637(1)(a): Absentee ballots and applications received by mail, except for fax or electronically transmitted ballots as otherwise provided by Section 23-15-699 for UOCAVA ballots, must be postmarked on or before the date of the election and received by the registrar no more than five (5) business days after the election; any received after such time shall be handled as provided in Section 23-15-647 and shall not be counted.",,
Mississippi,Overseas Registration Deadline,Postmarked by,ED - 10,,,See §23-15-677(2): An absent voter who registers to vote utilizing a federal postcard application or a Federal Write-In-Absentee Ballot may vote in an election if the voter was registered to vote ten (10) or more days prior to the date of the election.,,
Mississippi,Overseas Registration Deadline,Email or Fax,ED - 10,,,See above.,,
Missouri,Domestic Ballot Return Deadline,Blank,ED,7:00 PM,6. A ballot must be returned by mail or received in the office of the election authority or at a site provided for receipt of ballots by the election authority no later than 7:00 p.m. on election day.(115.655.),Same,,
Missouri,Domestic Ballot Request Deadline,Blank,2nd Wednesday before ED ,5:00 PM,"(3) No application for an absentee ballot received in the office of the election authority by mail, by facsimile transmission or by a guardian or relative after 5:00 p.m. on the Wednesday immediately prior to the election shall be accepted by any election authority. (115.279.)","See §115.279(3): No application for an absentee ballot received in the office of the election authority by mail, by facsimile transmission, by electronic mail, or by a guardian or relative after 5:00 p.m. on the second Wednesday immediately prior to the election shall be accepted by any election authority. ",,
Missouri,Domestic Ballot Request Deadline,Received by,2nd Wednesday before ED ,,,"See §115.279(3): No application for an absentee ballot received in the office of the election authority by mail, by facsimile transmission, by electronic mail, or by a guardian or relative after 5:00 p.m. on the second Wednesday immediately prior to the election shall be accepted by any election authority. ",,
Missouri,Domestic Registration Deadline,Blank,ED - 27,5:00 PM,"In order to vote in any election for which registration is required, a person must be registered to vote in the jurisdiction of his or her residence no later than 5:00 p.m., or the normal closing time of any public building where the registration is being held if such time is later than 5:00 p.m., on the fourth Wednesday prior to the election, unless the voter is an interstate former resident, an intrastate new resident, a new resident, or a covered voter, as defined in section 115.275 (115.135)",Same,,
Missouri,Domestic Registration Deadline,Postmarked by,ED - 27,,,Same,,
Missouri,Domestic Registration Deadline,Military by,ED - 3,5:00 PM,"4. A covered voter as defined in section 115.275 who has been discharged from military service, has returned from a military deployment or activation, or has separated from employment outside the territorial limits of the United States after the deadline to register to vote, and who is otherwise qualified to register to vote, may register to vote in an election in person before the election authority until 5:00 p.m. on the Friday before such election. Such persons shall produce sufficient documentation showing evidence of qualifying for late registration pursuant to this section. (115.135.)",Same,,
Missouri,Overseas Ballot Return Deadline,Post Received by,ED+ 3,12:00 PM,A valid military-overseas ballot cast in accordance with section 115.916 shall be counted if it is received before noon on the Friday after election day so that certification under section 115.508* may commence. (115.920),Same,,
Missouri,Overseas Ballot Return Deadline,Postmarked by,ED,,"To be valid, a military-overseas ballot shall be received by the appropriate local election official not later than the close of the polls, or the voter shall submit the ballot for mailing, or other authorized means of delivery not later than 12:01 a.m., at the place where the voter completes the ballot, on the date of the election.(115.916)","Same, but I don't think the 12:01am matters here.",,
Missouri,Overseas Ballot Return Deadline,Email or Fax,ED,7:00 PM,,Same,,
Missouri,Overseas Ballot Request Deadline,Received by,ED -3,5:00 PM,"An application for a military-overseas ballot is timely if received by 5:00 p.m. on the Friday prior to the election. An application for a military-overseas ballot for a primary election, whether or not timely, shall be effective as an application for a military-overseas ballot for the general election.(115.912.)",Same,,
Missouri,Overseas Registration Deadline,Received by,ED-27,5:00 PM,"In order to vote in any election for which registration is required, a person must be registered to vote in the jurisdiction of his or her residence no later than 5:00 p.m., or the normal closing time of any public building where the registration is being held if such time is later than 5:00 p.m., on the fourth Wednesday prior to the election, unless the voter is an interstate former resident, an intrastate new resident, a new resident, or a covered voter, as defined in section 115.275 (115.135)",Same,,
Missouri,Overseas Registration Deadline,Postmarked by,4th Tues before ED,5:00 PM,"A covered voter may use the declaration accompanying a federal write-in absentee ballot to apply to register to vote simultaneously with the submission of the federal write-in absentee ballot, if the declaration is received no later than 5:00 p.m. on the fourth Tuesday prior to the election. If the declaration is received after that date, it shall be treated as an application to register to vote for subsequent elections.(115.908. )",Check column E. Law is the same but I think it should be 4th Tuesday before ED.,,
Missouri,in- Person Absentee Voting To,Contact Local Election Office,ED - 1,5:00 PM,,Same,,
Missouri,Military Registrarion Deadline,Away from US on Active Duty by,Friday before ED,5:00 PM,,"I think this is wrong. See §115.135(4): A covered voter as defined in section 115.275 who has been discharged from military service, has returned from a military deployment or activation, or has separated from employment outside the territorial limits of the United States after the deadline to register to vote, and who is otherwise qualified to register to vote, may register to vote in an election in person before the election authority until 5:00 p.m. on the Friday before such election. Such persons shall produce sufficient documentation showing evidence of qualifying for late registration pursuant to this section. (115.135.)",,
Montana,In-Person Absentee Voting From,Blank,ED - 30,,"""(1) Except as provided in subsection (2), the election administrator shall ensure that ballots for a polling place election are available as follows:
(a) for an election conducted on a primary or general election day:(i) 30 days prior to election day for absentee voting in person; (13-13-205)""",Same,,
Montana,In-Person Absentee Voting To,Blank,ED - 1,,,Same,,
Montana,Domestic Ballot Return Deadline,Blank,ED,8:00 PM,,"Same, see §13-13-201.",,
Montana,Domestic Ballot Request Deadline,Blank,ED - 1,12:00 PM,"(1) A qualified elector who will be absent from the county during the time the election is being conducted may(b) make a written request, signed by the applicant and addressed to the election administrator, that the ballot be mailed to an address other than the address that appears on the registration form. Written requests must be accepted until noon the day before the ballots are scheduled to be mailed.(13-19-303.)","Same, see also §13-13-211(1).",,
Montana,Domestic Registration Deadline,Blank,ED - 30,,(a) close regular registrations for 30 days before any election; and.(13-2-301),"Same; however, there is a late registration period that ends noon on the day before the election (https://sosmt.gov/elections/vote/#how-to-register-to-vote)",,
Montana,Domestic Registration Deadline,Received by,ED - 25,,,Think it's ED - 27. See §13-2-301(3): An application for voter registration properly executed and postmarked on or before the day regular registration is closed must be accepted as a regular registration for 3 days after regular registration is closed,,
Montana,Domestic Registration Deadline,Postmarked by,ED - 30,,(3) An application for voter registration properly executed and postmarked on or before the day regular registration is closed must be accepted as a regular registration for 3 days after regular registration is closed under subsection (1)(a). (13-2-301),Same,,
Montana,Overseas Ballot Return Deadline,Post Received by,ED,8:00 PM,(1) A valid military-overseas ballot must be counted if it is received by 8 p.m. on election day or by 5 p.m. on the day after election day if transmitted electronically by 8 p.m. on election day.(13-21-226),Same,,
Montana,Overseas Ballot Return Deadline,Email or Fax by,ED,8:00 PM,(2) Voted ballots transmitted electronically by 8 p.m. on election day and received by 5 p.m. on the day after election day must be counted at the same time as provisional ballots are counted.(13-21-226),,,
Montana,Overseas Ballot Request Deadline,Received by,ED,8:00 PM,"Except as provided in 13-21-226, an application for a military-overseas ballot is timely if received by 8 p.m. on election day.(13-21-223)",Same,,
Montana,Overseas Registration Deadline,Received by,ED,8:00 PM,,"Since election day registration has been reprealed, I think that the same 30-day postmark, and ED - 27 applies. But with late registration period, they may be able to register by noon before election day. More info on late registration can be found in §13-2-304.",,
Nebraska,Domestic Ballot Return Deadline,Blank,ED,,"Ballots issued under section 32-948 which are returned not later than the hour established for the closing of the polls shall be accepted for review by the counting board for early voting. Such ballots received by the election commissioner or county clerk after the close of the polls on election day shall remain sealed in the envelope on which the election commissioner or county clerk shall write Rejected, received on, and the date on which the ballot was received. If such a ballot was received on election day but after the close of the polls, the election commissioner or county clerk shall also write on the envelope the time at which the ballot was received. Such rejected ballots shall be segregated and stored in a sealed container designated for Rejected Early Ballots.(32-950)",Same,,
Nebraska,Domestic Ballot Request Deadline,Received by,ED - 11,,"Any registered voter permitted to vote early pursuant to section 32-938 may, not more than one hundred twenty days before any election and not later than the close of business on the second Friday preceding the election, request a ballot for the election to be mailed to a specific address.(32-941)",Same,,
Nebraska,Domestic Registration Deadline,Blank,ED - 11,,,Cannot find,,
Nebraska,Domestic Registration Deadline,Online by,ED - 18,5:00 PM,"(1) The Secretary of State in conjunction with the Department of Motor Vehicles shall implement a registration application process which may be used statewide to register to vote and update voter registration records electronically using the Secretary of State's web site. (2) The application shall contain substantially all the information provided in section 32-312 and the following informational statements: (c) To vote at the polling place on election day, the completed application must be submitted on or before the third Friday before the election and prior to midnight on such Friday; (32-304)",Same,,
Nebraska,Domestic Registration Deadline,Postmarked by,ED - 18 / 3rd friday before elections,,"""(3) If an elector mails the registration application to the election commissioner or county clerk:

(a)(i) The application shall be postmarked on or before the third Friday before the next election; (32-321)""",Same,,
Nebraska,Domestic Registration Deadline,In-Person Received by,ED - 11,6:00 PM,The office of the election commissioner or county clerk shall remain open during the usual business days of the year for purposes of general registration and revision and for the transaction of the business of the office. Such registration and revision shall be carried on at all times during the regular business hours of the office of the election commissioner or county clerk ending at 6 p.m. on the second Friday preceding any election.(32-302),Same,,
Nebraska,Domestic Registration Deadline,At DMV and other State Agencies by,ED - 18 / 3rd friday before elections,11:59 PM,,See §32-304(2)(c) - by 11:59pm on third Friday before election.,,
Nebraska,Early Voting From,In-Person (general and primaries),ED - 30,,,https://sos.nebraska.gov/elections/early-voting; 35 days before primary or general election; 15 days before all other elections.,,
Nebraska,Early Voting From,Blank (general and primaries),ED - 35,,,,,
Nebraska,Early Voting To,Blank (general and primaries),ED,,,https://sos.nebraska.gov/elections/early-voting; Election day,,
Nebraska,Early Voting From ,other elections,ED - 15,,,,,
Nebraska,Early Voting To,other elections,ED,,,,,
Nebraska,Overseas Ballot Return Deadline,Received by,ED,8:00 PM,"Ballots issued under section 32-948 which are returned not later than the hour established for the closing of the polls shall be accepted for review by the counting board for early voting. Such ballots received by the election commissioner or county clerk after the close of the polls on election day shall remain sealed in the envelope on which the election commissioner or county clerk shall write Rejected, received on, and the date on which the ballot was received. If such a ballot was received on election day but after the close of the polls, the election commissioner or county clerk shall also write on the envelope the time at which the ballot was received. Such rejected ballots shall be segregated and stored in a sealed container designated for Rejected Early Ballots.(32-950)",Same,,
Nebraska,Overseas Ballot Request Deadline,Received by,ED-18,,"(1) As provided in section 32-939.02, the persons listed in this subsection who are residents of Nebraska but who reside outside of Nebraska or the United States shall be allowed to simultaneously register to vote and make application for ballots for all elections in a calendar year through the use of the Federal Post Card Application or a personal letter which includes the same information as appears on the Federal Post Card Application.(32-939) 2) An omission of required information, except the political party affiliation of the applicant, may prevent the processing of an application for and mailing of ballots. The request for any ballots and a registration application shall be sent to the election commissioner or county clerk of the county of the applicant's residence. The request may be sent at any time in the same calendar year as the election, except that the request shall be received by the election commissioner or county clerk not later than the third Friday preceding an election to vote in that election. If an applicant fails to indicate his or her political party affiliation on the application, the applicant shall be registered as nonpartisan.(32-939.02)","3rd Friday before election is same, but not sure where the 4pm comes from.",,
Nebraska,Overseas Registration Deadline,Post Received by,ED - 18,,"(1) As provided in section 32-939.02, the persons listed in this subsection who are residents of Nebraska but who reside outside of Nebraska or the United States shall be allowed to simultaneously register to vote and make application for ballots for all elections in a calendar year through the use of the Federal Post Card Application or a personal letter which includes the same information as appears on the Federal Post Card Application.(32-939) 2) An omission of required information, except the political party affiliation of the applicant, may prevent the processing of an application for and mailing of ballots. The request for any ballots and a registration application shall be sent to the election commissioner or county clerk of the county of the applicant's residence. The request may be sent at any time in the same calendar year as the election, except that the request shall be received by the election commissioner or county clerk not later than the third Friday preceding an election to vote in that election. If an applicant fails to indicate his or her political party affiliation on the application, the applicant shall be registered as nonpartisan.(32-939.02)","Same, but not sure where 6pm comes from",,
Nebraska,Overseas Registration Deadline,Postmarked by,ED - 18,,,I'm inclined to think this one is the same as domestic one; so 18 days,,
Nebraska,Overseas Registration Deadline,Email or Fax by,ED - 11,6:00 PM,,I'm inclined to think this one is the same as domestic one; so 11 days,,
Nevada,Domestic Ballot Return Deadline,In-Person delivered by,ED,7:00 PM,,By 5pm on 4th day following election; postmarked as ED,,
Nevada,Domestic Ballot Return Deadline,Postmarked by,ED,,,,,
Nevada,Domestic Ballot Return Deadline,Post Received by,ED + 4,,,,,
Nevada,Domestic Ballot Request Deadline,Received by,automatically mailed now,5:00 PM,""" Limitation on time to apply for absent ballot; public inspection authorized; issuance of absent ballot; immunity of county clerk.

      1.  A registered voter referred to in NRS 293.313 may, at any time before 5 p.m. on the seventh calendar day preceding any election, make an application to that clerk for an absent voter’s ballot. The application must be made available for public inspection.( 293.315 )""",Automatically mailed now.,,
Nevada,Domestic Registration Deadline,Blank,ED-28,,,28 days.,,
Nevada,Domestic Registration Deadline,Online by,Thurs. before ED (ED-5),,"  (3) By computer, if the county clerk has established a system pursuant to NRS 293.506 for using a computer to register voters, is the Thursday preceding the first day of the period for early voting.",Thursday before election.,,
Nevada,Domestic Registration Deadline,Postmarked by,ED-28,,"""   1.  Except as otherwise provided in NRS 293.502, 293D.230 and 293D.300:

      (a) For a primary or general election, or a recall or special election that is held on the same day as a primary or general election, the last day to register to vote:

             (1) By mail is the fourth Tuesday preceding the primary or general election.( NRS 293.560)""",28 days.,,
Nevada,Domestic Registration Deadline,Election Day Registration,ED,," (2) By appearing in person at the office of the county clerk or, if open, a county facility designated pursuant to NRS 293.5035, is the third Tuesday preceding the primary or general election",Can now register in person on election day,,
Nevada,Early Voting From,Blank,ED - 17,,"  1.  The period for early voting by personal appearance begins the third Saturday preceding a primary or general election and extends through the Friday before election day, Sundays and federal holidays excepted.(293.3568(",Same,,
Nevada,Early Voting To,Blank,ED - 4,,"  1.  The period for early voting by personal appearance begins the third Saturday preceding a primary or general election and extends through the Friday before election day, Sundays and federal holidays excepted.(293.3568(",Same,,
